,Tweet_ID,Tweet_Text,Emojis
0,1394196468794200067,Bakit Mexico? is trending Twitter right now. I just saw this but i don't know if this is legit. #MissUniverse https://t.co/JhDH53yn9t,:confused: :wink: :rage: :thumbsup: :stuck_out_tongue_winking_eye:
1,1394195951875678209,ROBISEARCH LTD has Bulk SMS Services 4 Schools this season to help ease communication by sending messages to parents on students activities and notification on meetings today DM @RobisearchLtd or call 0780655987 Stella Ruto #Gaza #Palestine #Israel #MissUniverse Freshly mwamburi https://t.co/ZylgHjDRgU,:thumbsup: :blush: :wink: :smile: :pray:
2,1394187288951894019,"Zozi is unreal ,WHAT.😭😍 #MissUniverse https://t.co/tmeO7TtL0i",:heart_eyes: :sparkling_heart: :heart: :two_hearts: :joy:
3,1394186268020514817,SPILL THE TEA.  RABIYA COOKING SHOW #MissUniverse https://t.co/fHUcfqX8Zf,:wink: :stuck_out_tongue_winking_eye: :confused: :rage: :cry:
4,1394178518003687426,Andrea Meza of Mexico has been crowned #MissUniverse. The pageant was broadcast live from the Seminole Hard Rock Hotel and Casino Hollywood in Florida. https://t.co/zuumCcN67j,:cry: :rage: :broken_heart: :thumbsup: :facepunch:
5,1394176686803984391,Philippines and Thailand fans after seeing Rabiya and Amanda holding hands😂  #MissUniverse https://t.co/R1C3LGEA0M,:thumbsup: :wink: :smile: :rage: :angry:
6,1394176643594342401,How did Natasha Joubert not win Miss Universe 2021?  #MissUniverse https://t.co/5KwASFljzm,:wink: :confused: :joy: :angry: :expressionless:
7,1394175493637918726,Zozi will Forever be our #MissUniverse 🔥🔥🔥🔥🔥♥️♥️♥️ https://t.co/woH1cjYw6C,:heart_eyes: :sparkling_heart: :wink: :information_desk_person: :disappointed:
8,1394168459202895872,Zozi looked absolutely breath taking as she took her final walk. Our #MissUniverse forever and always. I can't wait to see where life takes her next https://t.co/yJLMhGaseY,:heart: :heart_eyes: :sparkling_heart: :wink: :clap:
9,1394165807194591236,look at rabiya doing her walk one last time on the miss universe stage after the pageant 😭 it shows how determined she was and how badly she wanted to get the crown for us 😭 this is so sad im crying #MissUniverse https://t.co/2VsWodYxOw,:cry: :joy: :wink: :sob: :broken_heart:
10,1394163560784306176,"The longest reigning Miss Universe. ZOZI TUNZI, looked stunning!!   #MissUniverse https://t.co/7gMUzMaWVQ",:heart: :thumbsup: :wink: :sparkling_heart: :heart_eyes:
11,1394162285447458818,"""I am my ancestors wildest dream""  - Zozi ❤️  #MissUniverse https://t.co/T3EgWud03I",:thumbsup: :heart_eyes: :wink: :sparkling_heart: :sparkles:
12,1394161329796157441,Interested in Revamping your CV to attract recruiters?  We can assist!  We charge R25 for the unemployed. R50 for the employed.  Our services are very professional!  Cv + Cover Letter Same design is R90  WhatsApp 083 286 2828  #MissUniverse #MondayMotivation https://t.co/Sh5XWuRHue,:thumbsup: :wink: :clap: :ok_hand: :smile:
13,1394159425368125443,I don't see a lot of people talk about Zozi's final walk. I mean look at her serve #MissUniverse https://t.co/UndzpBWx9i,:heart_eyes: :sparkling_heart: :thumbsup: :clap: :information_desk_person:
14,1394155842321014786,MORE THAN A DECADE OF BEAUTY.  #MissUniverse candidates from the Philippines have been recognized in the pageant for more than 10 years now.  These include the wins of former Miss Universe queens Pia Wurtzbach &amp; Catriona Gray on 2015 and 2018 respectively. https://t.co/rQ8cMAD8p9 https://t.co/pUykY2Ijxp,:smile: :wink: :thumbsup: :stuck_out_tongue_winking_eye: :clap:
15,1394152056391311360,Dubai-based Filipino designer Furne Amato posts photos of #MissUniverse Philippines Rabiya Mateo donning an orange gown inspired by the Philippine mythical bird Sarimanok. She wasn't able to reveal her evening gown after failing to enter the Top 10 https://t.co/IjUZB26Exn https://t.co/6iCl88fK5t,:smile: :cry: :broken_heart: :disappointed: :sweat_smile:
16,1394151840682545154,"Zozibini Tunzi. The Universe's landlord. The longest raining #MissUniverse. First of her name. Keeper of the Universe's keys. 🥺Yoh hayi, what a brilliant and beautiful woman🥺❤️🔥 https://t.co/4DRyWvhXZT",:heart_eyes: :wink: :sparkling_heart: :yellow_heart: :thumbsup:
17,1394151424519401475,a clear and exact photo of Bakit Mexico. #MissUniverse2021  #missuniverse https://t.co/esLcx1HnMw,:stuck_out_tongue_winking_eye: :wink: :joy: :thumbsup: :hand:
18,1394151111649632258,"FINAL COMPETITION EVENING GOWN by “OAT-COUTURE. “ANDAMAN”—The HEART and SOUL of “The Island Girl”  The core idea of the “ANDAMAN” dress is based on Amanda’s origin, “Phuket”, the beautiful island located in the Andaman sea #MissUniverse https://t.co/7qo2NoJnn0",
19,1394150310038315010,This meme is so funny.😭😭😭😭 #MissUniverse https://t.co/FA5rLfYZU2,:joy: :smile: :wink: :stuck_out_tongue_winking_eye: :angry:
20,1394149328034336770,"How long will you delay changing your kitchen units? Let @projects_n handle that for you.  See Before and after, cost R35k incl labour &amp; material.  📍Soweto,travels nationwide. 📞0843389864/0780965278  #DJSBU  #MissUniverse  Peru | Bonang | Britain | powerup|  YMornings |Top 21 https://t.co/9s5MySl6IJ",:thumbsup: :clap: :wink: :ok_hand: :facepunch:
21,1394148607989739520,“This bish think she deserve it” #MissUniverse https://t.co/KGmyiR6ER2,:wink: :stuck_out_tongue_winking_eye: :joy: :thumbsup: :confused:
22,1394148048977108992,TWO POWERFUL BESTIES ✨ AMANDA AND RABIYA TOGETHER IS GIVING ME LIFE! 😭❤️  #MissUniverse #THAILAND #PHILIPPINES https://t.co/V5PaFbW5Aw,:sparkling_heart: :sparkles: :heart: :heartbeat: :yellow_heart:
23,1394148046653493253,This year had a LOT of strong contenders but also has the most unpredictable results  *Top 21 - no South Africa *Top 10 - no Philippines *Top 5 - no Puerto Rico and Thailand *Peru and India acing the Q&amp;A but Mexico winning lol I'm tired bye  #MissUniverse  #MissUniverse2020 https://t.co/9pou2da9Vy,:wink: :cry: :confused: :stuck_out_tongue_winking_eye: :disappointed:
24,1394147503734358017,"Myanmar won for Miss Universe National Costume, she lost all of her costumes by the airline and wore clothes shared by the contestants of the competition &amp; traditional costumes lent by Myanmar in the US! Humanity wins🙏🏼❤️  #MissUniverse https://t.co/xsi46KVEOj",:pray: :cry: :heart: :purple_heart: :yellow_heart:
25,1394147391071080450,Can you just take a moment and appreciate this 22 year old for making India so proud 🇮🇳 ✨  INDIA IS PROUD OF ADELINE   #MissUniverse https://t.co/ggoHnZhU80,:clap: :thumbsup: :heart: :blue_heart: :smile:
26,1394146592148529154,can't deny that Miss Universe 2018 is the best #MissUniverse https://t.co/Ux16WxqHNO,:thumbsup: :clap: :wink: :smile: :raised_hands:
27,1394146132842848256,"MS. PERU, A QUEEN 🇵🇪👑  ""I advocate to save little girls from being victims, they're survivors, they're heroes, they have the power and..  ..don't ever ever make anyone silence your voice."" 💗🙏🏻   IMPACT!!💯👍🏻👏🏻 That's why I rooted for her 😘 #MissUniverse https://t.co/C7un7gXiYc",
28,1394145160804454400,"kita q lang huhu Rabiya and Amanda, Southeast Asian gems in this year's Ms. U ✨ 🇵🇭🇹🇭 #MissUniverse https://t.co/ePQT63lStX",:smile: :thumbsup: :wink: :kissing_heart: :sunglasses:
29,1394143308180426752,"PHYSICAL DISTANCING OBSERVED.  Unlike in previous #MissUniverse coronation nights, the final two contestants, Miss Mexico and Miss Brazil, didn't hold hands while waiting for final results.  The pageant had to be postponed last year due to the #COVID19 pandemic. https://t.co/8MAn6vAL90",
30,1394142701629579266,SHE SLAYED IN EVERY COLORS!!! SHE BRINGS LIFE TO EVERYTHING SHE WEAR!! RABIYA A QUEEN!!✨💖  #MissUniverse https://t.co/RGcR7Wf473,:wink: :thumbsup: :smile: :heart_eyes: :joy:
